precinct,borough,neighborhoods,crimeCount,monthToDate,yearToDate,crimeBreakdown,weightedCrimeVal,safetyScore
63,Brooklyn,"Canarsie, Flatlands",77,360,36,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 3, ""Felony Assault"": 2, ""Burglary"": 2, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 3}",95,0.8034825870646767
66,Brooklyn,"Borough Park, Ocean Parkway",54,299,27,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 2, ""Burglary"": 0, ""Grand Larceny"": 8, ""Grand Larceny Auto"": 3}",43,0.9328358208955224
67,Brooklyn,"East Flatbush, Rugby, Farragut",130,507,61,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 16, ""Burglary"": 9, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 3}",232,0.4626865671641791
68,Brooklyn,"Bay Ridge, Dyker Heights",71,234,27,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 1, ""Felony Assault"": 5, ""Burglary"": 2, ""Grand Larceny"": 7, ""Grand Larceny Auto"": 5}",107,0.7736318407960199
69,Brooklyn,"Canarsie, Flatlands",37,203,17,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 0, ""Felony Assault"": 4, ""Burglary"": 0, ""Grand Larceny"": 3, ""Grand Larceny Auto"": 2}",41,0.9378109452736318
70,Brooklyn,"Flatbush, Midwood",73,365,33,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 5, ""Felony Assault"": 6, ""Burglary"": 2, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 0}",113,0.7587064676616915
71,Brooklyn,"Crown Heights South, Wingate",46,249,24,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 2, ""Burglary"": 1, ""Grand Larceny"": 2, ""Grand Larceny Auto"": 1}",46,0.9253731343283582
72,Brooklyn,"Sunset Park, Windsor Terrace",70,271,29,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 1, ""Felony Assault"": 7, ""Burglary"": 0, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 1}",103,0.7835820895522388
73,Brooklyn,"Brownsville, Ocean Hill",138,526,79,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 9, ""Felony Assault"": 15, ""Burglary"": 4, ""Grand Larceny"": 6, ""Grand Larceny Auto"": 1}",264,0.3830845771144279
75,Brooklyn,"East New York, Starrett City",225,886,124,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 6, ""Felony Assault"": 34, ""Burglary"": 2, ""Grand Larceny"": 15, ""Grand Larceny Auto"": 12}",418,0.0
